Route (r),Time Block (t),Route type,"Old ridership (x_old,r,t)",Trip length km (L_r),"Average length hr (T_r,t)","Old frequency of buses (f_old,r,t)","Old number of buses (n_old,r,t) - continuous","Old number of buses (n_old,r,t) - discrete","Time block hr (H_block,t)",Driver horuly wage rate $/hr (W_driver),Price of fuel $/litre (P_fuel),Fuel consumption (FC),Maintenace cost $/km (P_maintenance),Passenger hourly wage rate $/hr (W_passenger),VTTS fraction of passenger wage (F_wage),"Emission intensity of a car kgCO2eq/KPT (I_GHG,car)",Average Length of passenger trip (L_avg_trip),Social cost of carbon $/tonne CO2eq (SCC)," Vehicle-miles saved per 1 km  of passenger km travelled (V_km,saved)",,
87,Evening,Frequent ,137,9.3,0.452,1.623,0.733596,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.86,0.275,5.8,,
87,Night,Frequent ,16,9.3,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.86,0.275,5.8,,
88,Early AM,Frequent ,324,19.8,0.702,2.086,1.464372,2,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.96,0.275,5.8,,
88,AM Peak,Frequent ,2214,19.8,0.814,7.8,6.3492,7,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.96,0.275,5.8,,
88,Midday,Frequent ,4712,19.8,0.726,5.3,3.8478,4,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.96,0.275,5.8,,
88,PM Peak,Frequent ,3050,19.8,0.884,8.6,7.6024,8,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.96,0.275,5.8,,
88,Evening,Frequent ,1596,19.8,0.715,3.622,2.58973,3,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.96,0.275,5.8,,
88,Night,Frequent ,675,19.8,0.664,1.2,0.7968,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.96,0.275,5.8,,
89,Early AM,Cancelled ,61,,,,,,,,,,,,,,,,,,
89,AM Peak,Cancelled ,383,,,,,,,,,,,,,,,,,,
89,Midday,Cancelled ,469,,,,,,,,,,,,,,,,,,
89,PM Peak,Cancelled ,455,,,,,,,,,,,,,,,,,,
89,Evening,Cancelled ,153,,,,,,,,,,,,,,,,,,
89,Night,Cancelled ,82,,,,,,,,,,,,,,,,,,
90,Early AM,Frequent,86,17.4,0.521,1,0.521,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.48,0.275,5.8,,
90,AM Peak,Frequent,751,17.4,0.663,5.8,3.8454,4,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.48,0.275,5.8,,
90,Midday,Frequent,1363,17.4,0.685,4.584,3.14004,4,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.48,0.275,5.8,,
90,PM Peak,Frequent,894,17.4,0.735,5.2,3.822,4,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.48,0.275,5.8,,
90,Evening,Frequent,316,17.4,0.661,2.4,1.5864,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.48,0.275,5.8,,
90,Night,Frequent,187,17.4,0.545,0.675,0.367875,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.48,0.275,5.8,,
92,Early AM,Local,35,20.5,0.667,0.286,0.190762,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.1,0.275,5.8,,
92,AM Peak,Local,357,20.5,0.702,1.68,1.17936,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.1,0.275,5.8,,
92,Midday,Local,475,20.5,0.378,1.083,0.409374,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.1,0.275,5.8,,
92,PM Peak,Local,286,20.5,0.674,1.914,1.290036,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.1,0.275,5.8,,
92,Evening,Local,180,20.5,0.324,1,0.324,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.1,0.275,5.8,,
92,Night,Local,91,20.5,0.3,0.25,0.075,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.1,0.275,5.8,,
93,Early AM,Local,82,12.5,0.243,0.714,0.173502,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.5,0.275,5.8,,
93,AM Peak,Local,670,12.5,0.256,2.24,0.57344,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.5,0.275,5.8,,
93,Midday,Local,626,12.5,0.251,2.483,0.623233,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.5,0.275,5.8,,
93,PM Peak,Local,864,12.5,0.264,3.2,0.8448,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.5,0.275,5.8,,
93,Evening,Local,235,12.5,0.23,2.245,0.51635,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.5,0.275,5.8,,
93,Night,Local,81,12.5,0.24,0.3,0.072,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.5,0.275,5.8,,
96,Early AM,Cancelled ,38,,,,,,,,,,,,,,,,,,
96,AM Peak,Cancelled ,182,,,,,,,,,,,,,,,,,,
96,Midday,Cancelled ,148,,,,,,,,,,,,,,,,,,
96,PM Peak,Cancelled ,267,,,,,,,,,,,,,,,,,,
96,Evening,Cancelled ,58,,,,,,,,,,,,,,,,,,
96,Night,Cancelled ,7,,,,,,,,,,,,,,,,,,
97,Early AM,Cancelled ,89,,,,,,,,,,,,,,,,,,
97,AM Peak,Cancelled ,375,,,,,,,,,,,,,,,,,,
97,Midday,Cancelled ,1023,,,,,,,,,,,,,,,,,,
97,PM Peak,Cancelled ,602,,,,,,,,,,,,,,,,,,
97,Evening,Cancelled ,507,,,,,,,,,,,,,,,,,,
97,Night,Cancelled ,312,,,,,,,,,,,,,,,,,,
98,Early AM,Frequent ,73,16.4,0.409,1.286,0.525974,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.28,0.275,5.8,,
98,AM Peak,Frequent ,548,16.4,0.438,6.28,2.75064,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.28,0.275,5.8,,
98,Midday,Frequent ,1517,16.4,0.565,4.283,2.419895,3,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.28,0.275,5.8,,
98,PM Peak,Frequent ,890,16.4,0.475,6.143,2.917925,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.28,0.275,5.8,,
98,Evening,Frequent ,391,16.4,0.506,2.711,1.371766,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.28,0.275,5.8,,
98,Night,Frequent ,143,16.4,0.446,0.4,0.1784,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.28,0.275,5.8,,
99,Early AM,Local,126,18.5,0.498,0.771,0.383958,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.7,0.275,5.8,,
99,AM Peak,Local,822,18.5,0.562,2.76,1.55112,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.7,0.275,5.8,,
99,Midday,Local,659,18.5,0.525,2.534,1.33035,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.7,0.275,5.8,,
99,PM Peak,Local,952,18.5,0.597,2.629,1.569513,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.7,0.275,5.8,,
99,Evening,Local,242,18.5,0.442,2.178,0.962676,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.7,0.275,5.8,,
99,Night,Local,57,18.5,0.404,0.4,0.1616,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.7,0.275,5.8,,
110,Early AM,Local,55,43.8,1.214,1.486,1.804004,2,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,8.76,0.275,5.8,,
110,AM Peak,Local,301,43.8,1.603,2.44,3.91132,4,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,8.76,0.275,5.8,,
110,Midday,Local,298,43.8,1.53,2.1,3.213,4,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,8.76,0.275,5.8,,
110,PM Peak,Local,252,43.8,1.614,2.686,4.335204,5,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,8.76,0.275,5.8,,
110,Evening,Local,185,43.8,1.415,0.889,1.257935,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,8.76,0.275,5.8,,
110,Night,Local,0,43.8,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,8.76,0.275,5.8,,
111,Early AM,Frequent ,93,14.7,0.411,1.172,0.481692,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.94,0.275,5.8,,
111,AM Peak,Frequent ,1244,14.7,0.501,5.52,2.76552,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.94,0.275,5.8,,
111,Midday,Frequent ,2315,14.7,0.506,4.716,2.386296,3,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.94,0.275,5.8,,
111,PM Peak,Frequent ,1323,14.7,0.599,4.343,2.601457,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.94,0.275,5.8,,
111,Evening,Frequent ,789,14.7,0.456,4.067,1.854552,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.94,0.275,5.8,,
111,Night,Frequent ,303,14.7,0.351,0.775,0.272025,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.94,0.275,5.8,,
114,Early AM,Cancelled ,0,,,,,,,,,,,,,,,,,,
114,AM Peak,Cancelled ,0,,,,,,,,,,,,,,,,,,
114,Midday,Cancelled ,49,,,,,,,,,,,,,,,,,,
114,PM Peak,Cancelled ,0,,,,,,,,,,,,,,,,,,
114,Evening,Cancelled ,0,,,,,,,,,,,,,,,,,,
114,Night,Cancelled ,0,,,,,,,,,,,,,,,,,,
131,Early AM,Cancelled ,14,,,,,,,,,,,,,,,,,,
131,AM Peak,Cancelled ,173,,,,,,,,,,,,,,,,,,
131,Midday,Cancelled ,390,,,,,,,,,,,,,,,,,,
131,PM Peak,Cancelled ,186,,,,,,,,,,,,,,,,,,
131,Evening,Cancelled ,85,,,,,,,,,,,,,,,,,,
131,Night,Cancelled ,42,,,,,,,,,,,,,,,,,,
138,Early AM,Local,6,7.1,0.332,0.429,0.142428,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.42,0.275,5.8,,
138,AM Peak,Local,138,7.1,0.356,2.24,0.79744,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.42,0.275,5.8,,
138,Midday,Local,128,7.1,0.308,1.183,0.364364,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.42,0.275,5.8,,
138,PM Peak,Local,110,7.1,0.371,2.372,0.880012,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.42,0.275,5.8,,
138,Evening,Local,45,7.1,0.287,1.111,0.318857,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.42,0.275,5.8,,
138,Night,Local,18,7.1,0.267,0.25,0.06675,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.42,0.275,5.8,,
140,Early AM,Cancelled,0,,,,,,,,,,,,,,,,,,
140,AM Peak,Cancelled,12,,,,,,,,,,,,,,,,,,
140,Midday,Cancelled,159,,,,,,,,,,,,,,,,,,
140,PM Peak,Cancelled,0,,,,,,,,,,,,,,,,,,
140,Evening,Cancelled,0,,,,,,,,,,,,,,,,,,
140,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
141,Early AM,Cancelled,3,,,,,,,,,,,,,,,,,,
141,AM Peak,Cancelled,10,,,,,,,,,,,,,,,,,,
141,Midday,Cancelled,9,,,,,,,,,,,,,,,,,,
141,PM Peak,Cancelled,18,,,,,,,,,,,,,,,,,,
141,Evening,Cancelled,7,,,,,,,,,,,,,,,,,,
141,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
153,Early AM,Local,0,5.2,0,0,0,0,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.04,0.275,5.8,,
153,AM Peak,Local,15,5.2,0.258,0.4,0.1032,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.04,0.275,5.8,,
153,Midday,Local,124,5.2,0.268,0.85,0.2278,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.04,0.275,5.8,,
153,PM Peak,Local,31,5.2,0.279,0.971,0.270909,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.04,0.275,5.8,,
153,Evening,Local,12,5.2,0.242,0.222,0.053724,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.04,0.275,5.8,,
153,Night,Local,0,5.2,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.04,0.275,5.8,,
154,Early AM,Cancelled,0,,,,,,,,,,,,,,,,,,
154,AM Peak,Cancelled,4,,,,,,,,,,,,,,,,,,
154,Midday,Cancelled,7,,,,,,,,,,,,,,,,,,
154,PM Peak,Cancelled,0,,,,,,,,,,,,,,,,,,
154,Evening,Cancelled,0,,,,,,,,,,,,,,,,,,
154,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
155,Early AM,Cancelled,1,,,,,,,,,,,,,,,,,,
155,AM Peak,Cancelled,1,,,,,,,,,,,,,,,,,,
155,Midday,Cancelled,2,,,,,,,,,,,,,,,,,,
155,PM Peak,Cancelled,1,,,,,,,,,,,,,,,,,,
155,Evening,Cancelled,0,,,,,,,,,,,,,,,,,,
155,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
158,Early AM,Local,0,8.7,0,0,0,0,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.74,0.275,5.8,,
158,AM Peak,Local,8,8.7,0.15,1.36,0.204,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.74,0.275,5.8,,
158,Midday,Local,0,8.7,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.74,0.275,5.8,,
158,PM Peak,Local,10,8.7,0.15,0.571,0.08565,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.74,0.275,5.8,,
158,Evening,Local,0,8.7,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.74,0.275,5.8,,
158,Night,Local,0,8.7,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.74,0.275,5.8,,
161,Early AM,Local,8,19.8,0.579,0.857,0.496203,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.96,0.275,5.8,,
161,AM Peak,Local,215,19.8,0.599,2.88,1.72512,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.96,0.275,5.8,,
161,Midday,Local,195,19.8,0.523,2.283,1.194009,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.96,0.275,5.8,,
161,PM Peak,Local,205,19.8,0.654,3.429,2.242566,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.96,0.275,5.8,,
161,Evening,Local,35,19.8,0.515,2,1.03,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.96,0.275,5.8,,
161,Night,Local,22,19.8,0.55,0.25,0.1375,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.96,0.275,5.8,,
162,Early AM,Local,0,11.8,0,0,0,0,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.36,0.275,5.8,,
162,AM Peak,Local,0,11.8,0.25,2.16,0.54,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.36,0.275,5.8,,
162,Midday,Local,19,11.8,0.251,1.3,0.3263,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.36,0.275,5.8,,
162,PM Peak,Local,4,11.8,0.296,2.543,0.752728,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.36,0.275,5.8,,
162,Evening,Local,7,11.8,0.248,1.156,0.286688,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.36,0.275,5.8,,
162,Night,Local,6,11.8,0.233,0.25,0.05825,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.36,0.275,5.8,,
164,Early AM,Cancelled,4,,,,,,,,,,,,,,,,,,
164,AM Peak,Cancelled,48,,,,,,,,,,,,,,,,,,
164,Midday,Cancelled,13,,,,,,,,,,,,,,,,,,
164,PM Peak,Cancelled,42,,,,,,,,,,,,,,,,,,
164,Evening,Cancelled,13,,,,,,,,,,,,,,,,,,
164,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
165,Early AM,Local,0,25.8,0.256,0.429,0.109824,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,5.16,0.275,5.8,,
165,AM Peak,Local,4,25.8,0.267,2.8,0.7476,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,5.16,0.275,5.8,,
165,Midday,Local,37,25.8,0.269,1.534,0.412646,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,5.16,0.275,5.8,,
165,PM Peak,Local,0,25.8,0.277,2.771,0.767567,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,5.16,0.275,5.8,,
165,Evening,Local,11,25.8,0.273,0.933,0.254709,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,5.16,0.275,5.8,,
165,Night,Local,4,25.8,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,5.16,0.275,5.8,,
166,Early AM,Cancelled,0,,,,,,,,,,,,,,,,,,
166,AM Peak,Cancelled,6,,,,,,,,,,,,,,,,,,
166,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
166,PM Peak,Cancelled,8,,,,,,,,,,,,,,,,,,
166,Evening,Cancelled,0,,,,,,,,,,,,,,,,,,
166,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
168,Early AM,Local,18,22.6,0.564,0.743,0.419052,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.52,0.275,5.8,,
168,AM Peak,Local,442,22.6,0.645,2.44,1.5738,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.52,0.275,5.8,,
168,Midday,Local,651,22.6,0.636,2.4,1.5264,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.52,0.275,5.8,,
168,PM Peak,Local,229,22.6,0.709,2.686,1.904374,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.52,0.275,5.8,,
168,Evening,Local,118,22.6,0.551,1.911,1.052961,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.52,0.275,5.8,,
168,Night,Local,75,22.6,0.472,0.45,0.2124,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.52,0.275,5.8,,
170,Early AM,Cancelled,33,,,,,,,,,,,,,,,,,,
170,AM Peak,Cancelled,208,,,,,,,,,,,,,,,,,,
170,Midday,Cancelled,421,,,,,,,,,,,,,,,,,,
170,PM Peak,Cancelled,209,,,,,,,,,,,,,,,,,,
170,Evening,Cancelled,155,,,,,,,,,,,,,,,,,,
170,Night,Cancelled,56,,,,,,,,,,,,,,,,,,
171,Early AM,Cancelled,15,,,,,,,,,,,,,,,,,,
171,AM Peak,Cancelled,249,,,,,,,,,,,,,,,,,,
171,Midday,Cancelled,412,,,,,,,,,,,,,,,,,,
171,PM Peak,Cancelled,249,,,,,,,,,,,,,,,,,,
171,Evening,Cancelled,37,,,,,,,,,,,,,,,,,,
171,Night,Cancelled,8,,,,,,,,,,,,,,,,,,
173,Early AM,Local,8,12.7,0.442,1.143,0.505206,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.54,0.275,5.8,,
173,AM Peak,Local,186,12.7,0.52,2.56,1.3312,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.54,0.275,5.8,,
173,Midday,Local,359,12.7,0.421,2.35,0.98935,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.54,0.275,5.8,,
173,PM Peak,Local,173,12.7,0.532,2.457,1.307124,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.54,0.275,5.8,,
173,Evening,Local,11,12.7,0.394,2.089,0.823066,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.54,0.275,5.8,,
173,Night,Local,0,12.7,0.4,0.25,0.1,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.54,0.275,5.8,,
175,Early AM,Cancelled,3,,,,,,,,,,,,,,,,,,
175,AM Peak,Cancelled,25,,,,,,,,,,,,,,,,,,
175,Midday,Cancelled,17,,,,,,,,,,,,,,,,,,
175,PM Peak,Cancelled,44,,,,,,,,,,,,,,,,,,
175,Evening,Cancelled,6,,,,,,,,,,,,,,,,,,
175,Night,Cancelled,1,,,,,,,,,,,,,,,,,,
176,Early AM,Cancelled,5,,,,,,,,,,,,,,,,,,
176,AM Peak,Cancelled,16,,,,,,,,,,,,,,,,,,
176,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
176,PM Peak,Cancelled,18,,,,,,,,,,,,,,,,,,
176,Evening,Cancelled,4,,,,,,,,,,,,,,,,,,
176,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
186,Early AM,Cancelled,0,,,,,,,,,,,,,,,,,,
186,AM Peak,Cancelled,27,,,,,,,,,,,,,,,,,,
186,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
186,PM Peak,Cancelled,45,,,,,,,,,,,,,,,,,,
186,Evening,Cancelled,0,,,,,,,,,,,,,,,,,,
186,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
187,Early AM,Local,0,10.4,0,0,0,0,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.08,0.275,5.8,,
187,AM Peak,Local,42,10.4,0.35,2.08,0.728,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.08,0.275,5.8,,
187,Midday,Local,29,10.4,0.333,0.167,0.055611,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.08,0.275,5.8,,
187,PM Peak,Local,18,10.4,0.4,2.628,1.0512,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.08,0.275,5.8,,
187,Evening,Local,0,10.4,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.08,0.275,5.8,,
187,Night,Local,0,10.4,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.08,0.275,5.8,,
190,Early AM,Cancelled,0,,,,,,,,,,,,,,,,,,
190,AM Peak,Cancelled,10,,,,,,,,,,,,,,,,,,
190,Midday,Cancelled,12,,,,,,,,,,,,,,,,,,
190,PM Peak,Cancelled,0,,,,,,,,,,,,,,,,,,
190,Evening,Cancelled,0,,,,,,,,,,,,,,,,,,
190,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
197,Early AM,Local,10,12.3,0.483,0.571,0.275793,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.46,0.275,5.8,,
197,AM Peak,Local,70,12.3,0.547,2.08,1.13776,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.46,0.275,5.8,,
197,Midday,Local,52,12.3,0.494,1.2,0.5928,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.46,0.275,5.8,,
197,PM Peak,Local,50,12.3,0.526,2.8,1.4728,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.46,0.275,5.8,,
197,Evening,Local,11,12.3,0.417,0.711,0.296487,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.46,0.275,5.8,,
197,Night,Local,0,12.3,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.46,0.275,5.8,,
198,Early AM,Local,4,16.8,0.383,0.286,0.109538,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.36,0.275,5.8,,
198,AM Peak,Local,27,16.8,0.496,1,0.496,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.36,0.275,5.8,,
198,Midday,Local,0,16.8,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.36,0.275,5.8,,
198,PM Peak,Local,43,16.8,0.536,1.172,0.628192,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.36,0.275,5.8,,
198,Evening,Local,3,16.8,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.36,0.275,5.8,,
198,Night,Local,0,16.8,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.36,0.275,5.8,,
199,Early AM,Cancelled,8,,,,,,,,,,,,,,,,,,
199,AM Peak,Cancelled,21,,,,,,,,,,,,,,,,,,
199,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
199,PM Peak,Cancelled,50,,,,,,,,,,,,,,,,,,
199,Evening,Cancelled,0,,,,,,,,,,,,,,,,,,
199,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
221,Early AM,Connexion,0,30.7,0.417,0.286,0.119262,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.14,0.275,5.8,,
221,AM Peak,Connexion,53,30.7,0.628,1.68,1.05504,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.14,0.275,5.8,,
221,Midday,Connexion,5,30.7,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.14,0.275,5.8,,
221,PM Peak,Connexion,27,30.7,0.602,1.429,0.860258,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.14,0.275,5.8,,
221,Evening,Connexion,0,30.7,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.14,0.275,5.8,,
221,Night,Connexion,0,30.7,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.14,0.275,5.8,,
222,Early AM,Connexion,6,37.6,0.767,0.571,0.437957,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,7.52,0.275,5.8,,
222,AM Peak,Connexion,15,37.6,0.767,0.4,0.3068,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,7.52,0.275,5.8,,
222,Midday,Connexion,0,37.6,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,7.52,0.275,5.8,,
222,PM Peak,Connexion,21,37.6,0.783,1.486,1.163538,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,7.52,0.275,5.8,,
222,Evening,Connexion,0,37.6,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,7.52,0.275,5.8,,
222,Night,Connexion,0,37.6,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,7.52,0.275,5.8,,
228,Early AM,Connexion,10,31.2,0.841,0.571,0.480211,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.24,0.275,5.8,,
228,AM Peak,Connexion,30,31.2,0.85,0.8,0.68,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.24,0.275,5.8,,
228,Midday,Connexion,0,31.2,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.24,0.275,5.8,,
228,PM Peak,Connexion,37,31.2,0.917,1.429,1.310393,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.24,0.275,5.8,,
228,Evening,Connexion,0,31.2,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.24,0.275,5.8,,
228,Night,Connexion,0,31.2,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.24,0.275,5.8,,
231,Early AM,Cancelled,10,,,,,,,,,,,,,,,,,,
231,AM Peak,Cancelled,44,,,,,,,,,,,,,,,,,,
