Route (r),Time Block (t),Route type,"Old ridership (x_old,r,t)",Trip length km (L_r),"Average length hr (T_r,t)","Old frequency of buses (f_old,r,t)","Old number of buses (n_old,r,t) - continuous","Old number of buses (n_old,r,t) - discrete","Time block hr (H_block,t)",Driver horuly wage rate $/hr (W_driver),Price of fuel $/litre (P_fuel),Fuel consumption (FC),Maintenace cost $/km (P_maintenance),Passenger hourly wage rate $/hr (W_passenger),VTTS fraction of passenger wage (F_wage),"Emission intensity of a car kgCO2eq/KPT (I_GHG,car)",Average Length of passenger trip (L_avg_trip),Social cost of carbon $/tonne CO2eq (SCC)," Vehicle-miles saved per 1 km  of passenger km travelled (V_km,saved)",,
19,Night,Local,126,16.6,0.51,0.4,0.204,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.32,0.275,5.8,,
20,Early AM,Local,57,13.0,0.542,0.571,0.309482,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.6,0.275,5.8,,
20,AM Peak,Local,176,13.0,0.677,2.08,1.40816,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.6,0.275,5.8,,
20,Midday,Local,348,13.0,0.686,2.483,1.703338,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.6,0.275,5.8,,
20,PM Peak,Local,245,13.0,0.749,2.371,1.775879,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.6,0.275,5.8,,
20,Evening,Local,129,13.0,0.605,1.956,1.18338,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.6,0.275,5.8,,
20,Night,Local,34,13.0,0.489,0.275,0.134475,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.6,0.275,5.8,,
21,Early AM,Local,0,6.5,0,0,0,0,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.3,0.275,5.8,,
21,AM Peak,Local,27,6.5,0.106,1.6,0.1696,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.3,0.275,5.8,,
21,Midday,Local,0,6.5,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.3,0.275,5.8,,
21,PM Peak,Local,25,6.5,0.133,0.857,0.113981,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.3,0.275,5.8,,
21,Evening,Local,0,6.5,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.3,0.275,5.8,,
21,Night,Local,0,6.5,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.3,0.275,5.8,,
23,Early AM,Local,0,11.3,0,0,0,0,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.26,0.275,5.8,,
23,AM Peak,Local,42,11.3,0.428,1.2,0.5136,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.26,0.275,5.8,,
23,Midday,Local,16,11.3,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.26,0.275,5.8,,
23,PM Peak,Local,29,11.3,0.42,1.429,0.60018,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.26,0.275,5.8,,
23,Evening,Local,0,11.3,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.26,0.275,5.8,,
23,Night,Local,0,11.3,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.26,0.275,5.8,,
24,Early AM,Local,54,27.6,0.582,1.057,0.615174,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,5.52,0.275,5.8,,
24,AM Peak,Local,649,27.6,0.649,4.56,2.95944,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,5.52,0.275,5.8,,
24,Midday,Local,608,27.6,1.03,2.717,2.79851,3,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,5.52,0.275,5.8,,
24,PM Peak,Local,680,27.6,0.702,5,3.51,4,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,5.52,0.275,5.8,,
24,Evening,Local,157,27.6,0.803,2.222,1.784266,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,5.52,0.275,5.8,,
24,Night,Local,75,27.6,0.458,0.25,0.1145,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,5.52,0.275,5.8,,
25,Early AM,Frequent,151,22.0,0.639,1.286,0.821754,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.4,0.275,5.8,,
25,AM Peak,Frequent,852,22.0,0.804,4.28,3.44112,4,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.4,0.275,5.8,,
25,Midday,Frequent,1580,22.0,0.753,5.5,4.1415,5,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.4,0.275,5.8,,
25,PM Peak,Frequent,1103,22.0,0.817,6.572,5.369324,6,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.4,0.275,5.8,,
25,Evening,Frequent,606,22.0,0.696,2.222,1.546512,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.4,0.275,5.8,,
